chapter_name,link,qns,ans
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2023,Count the number of apples byfives.,20
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2024,Find the number of stars. Count by tens.,60
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2025,Find the number of balls. Count by fives.,10
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2026,Find the number of cupcakes. Count by fives.,15
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2027,Find the number of cherries. Count by twos.,12
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2028,Find the number of balloons. Count by fives.,50
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2029,Find the number of rats. Count by fives.,30
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2030,Find the number of mangoes. Count by twos.,18
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2032,Find the number of shoes. Count by twos.,16
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-1-learn-to-skip-count-it-will-go-a-long-way-2033,Find the number of pencils. Count by tens.,90
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-2-counting-objects-skip-count-if-you-can-2204,Count the number of apples shown here.,3
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-2-counting-objects-skip-count-if-you-can-2216,Count the number of basketballs shown here.,4
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-2-counting-objects-skip-count-if-you-can-2217,Count the number of bells shown here.,5
Counting and number patterns,https://www.singaporemathguru.com/question/primary-2-math-drills-worksheets-exam-papers-practice-counting-and-number-patterns-exercise-2-counting-objects-skip-count-if-you-can-2218,Count the number of books shown here.,6
