chapter_name,link,qns,ans
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-1973,Which image shows 5 tennis balls?,C
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-1976,How many cupcakes are there in the picture?,9
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-1979,Which image shows 2 less birds than 6 birds?,C
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-2010,Which image shows 6 balls?,B
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-2011,How many apples are there in Image C?,5
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-2012,Which image has 2 less dogs than 10 dogs?	 ,C
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-2013,Which image has 2 less squares than 8 squares?,C
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-2014,Which image shows 5 monkeys?,B
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-2015,How many pencils are there?,7
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-1-counting-from-0-to-10-2016,How many cats are there ?,10
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-2-learn-to-count-up-to-20-1980,How many chairs are there in the picture?,12
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-2-learn-to-count-up-to-20-1981,How many apples do you see in the picture ?,20
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-2-learn-to-count-up-to-20-1982,How many cupcakes are there?,15
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-2-learn-to-count-up-to-20-1983,Which image shows 19 pencils?,C
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-2-learn-to-count-up-to-20-1984,How many elephants are there?,20
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-2-learn-to-count-up-to-20-2017,How many fish are there?,15
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-2-learn-to-count-up-to-20-2018,Which image shows 12 tigers?,A
Counting and number patterns,https://www.singaporemathguru.com/question/primary-1-math-drills-math-worksheets-math-exam-papers-math-practice-chapter-1-counting-and-number-patterns-exercise-2-learn-to-count-up-to-20-2019,How many cats are shown in the image?,12
