chapter_name,link,qns,ans
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-1-1392,"Yesterday, Harry travelled 387 km from city A to city B. Today, he travelled 48 km less from city B to city C. What was the distance travelled by Harry in 2 days?",726
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-1-1394,6523 animals in the zoo are tigers. There are 899 more tigers than lions. What is the total number of tigers and lions in the zoo? ,12147
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-1-1397,There are 229 fewer mango trees than apple trees. There are 2937 apple trees in a farm. How many trees are there in the farm altogether? ,5645
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-1-1398,"Uncle Matthew has 2363 fewer sheep than goats. If he has 4027 goats, how many goats and sheep does he have altogether?",5691
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-1-1401,Mary spent $3632 . She spent $3045 more than Tom. Find the total amount that Tom and Mary spent.,4219
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-2-1402,Esther has 168 pink ribbons. She has 187 more black ribbons than pink ribbons. How many ribbons does she have altogether?,523
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-2-1403,There are 177 red flowers in a flower shop. The number of yellow flowers is 165 more than the number of red flowers. What is the total number of flowers in the flower shop?,519
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-2-1405,There are 1068 zebras in a safari. There are 1182 more birds than zebras. Find the total number of zebras and birds in the safari.,3318
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-2-1406,"In a school, there are 727 girls. If there are 2375 more boys than girls in the school, how many students are there in the school altogether?",3829
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-2-1407,"Ashton has 647 marbles. If Smith has 367 more marbles than Ashton, how many marbles do they have altogether? ",1661
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-3-1413,Terry saved $287 last month. He saved $35 more this month. Find his total savings for both months. ,609
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-3-1414,"John went on a shopping spree. He spent $5000 on a watch. If he spent $2656 more on a coat than on the watch, find the total amount of money that John spent.",12656
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-3-1417,"At first, John had a total of 345 marbles. If his uncle gave him another 213 marbles, find the total number of marbles he would have in the end.",558
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-3-1419,Sally's mass is 26 kg. Her mother's mass is 39 kg more than her. Find the total mass of Sally and her mother. ,91
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-4-1421,"Tom, Harry and Jaden have a total of $2800. Tom has $282. Harry has $97 more than Tom. How much does Jaden have?",2139
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-4-1424,"The total number marbles in box 1, box 2 and box 3 is 4892. Box 1 contains 850 marbles. Box 2 contains 397 fewer marbles than the Box 1. How many marbles are there in box 3? ",3589
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-4-1425,There are a total of 2560 trees in three orchards. The first orchard had 440 trees. There are 280 less trees in the first orchard than in the second orchard. How many trees are there in the third orchard? ,1400
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-4-1427,"Ross,Jack and Jerry took part in a spelling competition. Ross, Jack and Jerry scored a total of 246 points . Jack scored 93 points and Jerry scored 18 points less than Jack. How many points did Ross score? ",78
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-5-1430,The total cost of a toy car and doll is $155. The doll cost $69 more than the toy car. Find the cost of the doll. ,112
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-5-1431,"In a hospital, there are a total of 3675 doctors and nurses. If the number of nurses is 1387 more than the number of doctors, how many nurses are there?",2531
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-5-1432,A total of 2756 people attended a church service. The pastor did a headcount and found that there were 1344 fewer females than males in the congregation. How many males attended the church service? ,2050
Whole Numbers,https://www.singaporemathguru.com/question/primary-4-problem-sums-word-problems-whole-numbers-get-the-lowdown-on-whole-numbers-it-s-easy-if-you-can-do-these-whole-numbers-exercise-5-1434,The total number of oranges and apples in a box is 3546. There were 1356 more oranges than apples in the box. How many oranges are there? ,2451
