chapter_name,link,qns,ans
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-1-453,"Albert had $956 and Ben had $1868 at first. Ben gave some of his money to Albert. In the end, both of them had the same amount of money. How much money did each of them have in the end?",1412
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-1-455,Charles had $877 at first. David had $2395 at first. David then gave some money to Charles and each of them had the same amount of money in the end. How much money did David have in the end?,1636
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-1-456,"Town X has a population of 248 people and Town Y has a population of 908 people. Some of the people fromTown Y migrated to Town X to find work. As a result, the two towns have the same population now. Find the population of each town now.",578
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-1-457,A bucket contained 12.72 litres of oil. A jug contained 13.76 litres of oil. Gregory transferred some oil from the jug to the bucket until both containers had the same amount of oil. How much oil is there in each container now?   Notes to students: ,13.24
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-1-458,"Tom had $286 and Mike had $176 at first. Tom gave some money to Mike. In the end, they had the same amount of money. How much money had each of them in the end?",231
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-2-459,There are a total of 1180 apple and banana trees in a plantation. There are 84 more apple trees than banana trees. Find the number of apple trees in the plantation.,632
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-2-462,Jenny and Maggie went on a shopping spree. They spent a total of $12725. Maggie spent $3645 less than Jenny. How much did Jenny spend?,8185
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-2-463,"There are 1246 passengers on a ship. If there are 196 more male passengers than female passengers, how many male passengers are on the ship?",721
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-2-464,There are 2388 eucalyptus and pine trees in a forest. There are 366 fewer pine trees than eucalyptus trees. Find the number of pine trees in the forest.,1011
Whole Numbers & Fractions,https://www.singaporemathguru.com/question/primary-5-problem-sums-word-problems-whole-numbers-and-fractions-time-for-a-little-challenge-whole-numbers-amp-fractions-exercise-2-465,Jay and Charlie shared $1278 between them. Charlie got $160 more than Jay. How much money did Charlie receive?,719
